Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,578558174.4,749091722.5,717293787.3,855824233.5,872562104.6,944485230.4,1205945141,1174549232,1219116488,1312839167,1566298812,1656682444,1515683232,1439286210,3590919585,1066591755,1403212688,2136921793,3024957968,4086867026,6417870345,8087308361,2967775316,2474724713,3788849738,3017493164,3564442764,4975199999,6027645119,7710609619,8592617133,8921486558,11575064694,13875640767,14669126523,20322665346,23479167915,25598019974,23466106403,17047391816,18584938668,17229377958,16947047266,17902176346,21047654827,28459879208,34131446776,38565057933,51917226703,39287791499,53788886631,66942120815,76923538617,76232423896,65261401205,62077780900,59105707515,62559818644,71496534083,69688947587,53678518359,77427860207,76513819534
China,23638466734,11415559487,7429461320,11034704458,14537402654,19089167584,23364656744,17391385587,17665790005,19933365049,30438002761,33570753538,35525986284,45658330548,47879667848,57258698421,51138246382,59266462530,56233026138,64710334643,66147553729,64535523825,65587896076,73648734594,89365467311,1.21E+11,1.13E+11,1.02E+11,1.22E+11,1.29E+11,1.23E+11,1.35E+11,1.67E+11,1.92E+11,2.26E+11,2.85E+11,3.24E+11,3.42E+11,3.58E+11,3.73E+11,4.07E+11,4.76E+11,5.32E+11,6.58E+11,8.18E+11,9.22E+11,1.10E+12,1.44E+12,1.94E+12,2.31E+12,2.83E+12,3.52E+12,3.94E+12,4.44E+12,4.80E+12,4.78E+12,4.79E+12,5.30E+12,6.09E+12,6.18E+12,6.37E+12,7.69E+12,
Cote d'Ivoire,91352188.41,122666013.8,89627224.5,135335731.3,201202168.6,201174458.7,223462796.6,214226826.8,228223168,265809550.1,327420358.1,345370191.6,386068772.2,581454847.3,675932057.7,873955807.1,1071770153,1712392270,2351368145,2556862562,2700213887,2187453753,1754683638,1259099356,797104180.3,903702381.2,1104803537,1242521079,1297315156,868795544.3,722113214.4,772047733.3,772218861.4,1081719155,1140264110,1715851855,2352729126,2983004469,3977323947,2760201914,2634569202,2390515678,2170764354,2968538958,3460355327,3327224289,3585113509,3947688742,6195431129,4996119111,7574559980,6088851232,7424117559,9796285000,11048510511,10716066718,11227890575,10931840549,13022884367,13078059343,12451655084,15344532524,17691178086
Cameroon,,,,,,102015441.9,113563081.4,128861300.6,139761453.8,117710155,184513103,205914903.5,273382741.8,378214842.2,368501380.4,570660811.4,509729183.8,967112915.7,1457086068,1688121541,1400514060,1797362765,1639347957,1784729960,1896984411,2126371561,3025071076,3223235118,2557007121,1882709697,2193452983,1974074391,1726914094,2226880563,1478840212,1905638319,1926575787,1908001405,2084892450,2043600274,1816641242,2056414152,2414086809,2889786370,3552095125,3642669971,3717023480,4397641454,5474864209,5184271403,5014189573,5737904933,5428133810,6290909286,7178277263,5878320979,6701343860,7019412076,7810101108,7511558754,7200776196,8557050518,7755029343
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,439127027.4,528993521,1607455069,152271015.6,130573933,144589054.5,2755072464,498666666.7,648998710.4,851263476.3,1262154369,1409404332,2116674825,2294365375,2148459565,2715843689,6206905422,6432057741,4199065172,7138048290,8339326909,7025059056,6461431665,9500131612,9799507737,10662993827,11985483829,15233319196,
"Congo, Rep.",70063997.62,98063603.66,60444677.96,39167751.76,37715427.92,44478736.83,66753904.53,74796438.03,74323982.23,70779940.17,66569410.53,85707106.29,119431370.3,173180264.6,205230759.7,300028594.2,233939696.5,203517003.4,240188740.7,311204325.9,610092158.5,960139128.4,1290602344,806159489.3,666656496.6,654405180,544621093.8,453309181.1,411954788.5,337608780,445154883.6,559362408.6,633567037.3,791771287,964058849.3,773878529.8,833105220.1,516419079.5,520206927.5,653968202.6,730349442.4,737117286.1,710245215.4,914132711.4,1048766629,1724877336,2283126905,5362165056,4901259634,5279276462,6204750609,5767740958,7752472552,8452178943,9598797751,9440994161,7563305717,4135842376,3442988340,3068641806,1635173532,1890524812,1879095425
Colombia,816501492.2,930454522.5,898270143.6,853797211.1,1046178711,848285714.3,1034592593,990163166,1137818644,1153120075,1456392796,1518363743,1571842116,1884675267,2654086265,2225786113,2694365182,3651201114,4253561837,5071459964,6369031881,7504734883,7983437829,7704606410,7254692886,6644212819,6290054401,7273748004,8622738059,7898429215,9859102855,9483568988,12002686711,16580058837,20866315000,23862798022,21520387605,22316538478,19429466808,11112844215,14877018657,15743773624,16897162879,17681401844,22763932757,31531601589,37113626903,48369654410,57524219043,51114241238,62710983032,77027443836,81939957750,84758105726,91510440482,69773973007,65498951806,67361301602,70834901643,69066146745,51527697521,60419670815,75125097354
Comoros,,,,,,,,,,,,,,,,,,,,,38288777.69,35426153.46,33199516.78,34572925.45,33323608.01,35493995.47,50373872.51,60897655.31,64321131.53,61610544.05,77513636.39,76519300.84,82523595.51,81710437.89,57589204.61,71891630.71,71457459.75,65754362.56,66775682.84,69003586.17,63353098.23,68292426.82,76853875.58,98670790.76,114335373.1,117968793,126013339.9,134368580.5,176254094.2,162877038.5,165024818.5,163913475.4,164074612.4,182571509.8,174771413.9,131747505.9,127218954.3,144737259.5,176751509.6,152183422.1,144576216.8,175398423.1,161051872.4
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779800678.8,900167512.8,766131016,820349974.4,919262271,673478647.3,608415330,714599018.5,509331647.2,528214529.1,584715535.6,606097161.3,610957939.9,846806595.4,947886166.9,714962966.8
